the grape,https://commons.wikimedia.org/wiki/File:Common_Muscadine_grape_RHS.jpeg,https://upload.wikimedia.org/wikipedia/commons/2/26/Common_Muscadine_grape_RHS.jpeg
saffron,https://commons.wikimedia.org/wiki/File:Crocus_Sativus_-_Zaffrano_domestico_-_Saffron._(saffron_crocus;_field_crocus)_(NYPL_b14444147-1130719).tiff,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Crocus_Sativus_-_Zaffrano_domestico_-_Saffron._%28saffron_crocus%3B_field_crocus%29_%28NYPL_b14444147-1130719%29.tiff/lossy-page1-1521px-Crocus_Sativus_-_Zaffrano_domestico_-_Saffron._%28saffron_crocus%3B_field_crocus%29_%28NYPL_b14444147-1130719%29.tiff.jpg
the chestnut,https://commons.wikimedia.org/wiki/File:Fig._1._Quercus_tinctoria_-_Ch%C3%A9ne_Quercitron._Fig._2._Quercus_montana_-_Ch%C3%A9ne_de_montagne._(Black_Oak_or_Quercitron_Bark_-_Rock_Chestnut_Oak)_(NYPL_b14485031-1110843).tiff,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Fig._1._Quercus_tinctoria_-_Ch%C3%A9ne_Quercitron._Fig._2._Quercus_montana_-_Ch%C3%A9ne_de_montagne._%28Black_Oak_or_Quercitron_Bark_-_Rock_Chestnut_Oak%29_%28NYPL_b14485031-1110843%29.tiff/lossy-page1-1273px-thumbnail.tiff.jpg
the autumn crocus,"https://commons.wikimedia.org/wiki/File:Colochicum_multiflorum_fl._Dilute_rubentium_-_Colchico_conpiu_fiori_-_Colchique._(autumn_crocus;_fall_crocus;_naked_ladies,_Meadow_saffron)_(NYPL_b14444147-1130717).tiff",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Colochicum_multiflorum_fl._Dilute_rubentium_-_Colchico_conpiu_fiori_-_Colchique._%28autumn_crocus%3B_fall_crocus%3B_naked_ladies%2C_Meadow_saffron%29_%28NYPL_b14444147-1130717%29.tiff/lossy-page1-777px-thumbnail.tiff.jpg
the horse,https://commons.wikimedia.org/wiki/File:Illustration_of_two_horses_and_a_pony_from_Sporting_Sketches_(1817-1818)_by_Henry_Alken_(1784-1851).jpg,https://upload.wikimedia.org/wikipedia/commons/c/cd/Illustration_of_two_horses_and_a_pony_from_Sporting_Sketches_%281817-1818%29_by_Henry_Alken_%281784-1851%29.jpg
impatiens,https://commons.wikimedia.org/wiki/File:Impatiens_Jerdoniae.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Impatiens_Jerdoniae.jpg/1311px-Impatiens_Jerdoniae.jpg
the carrot,,
amaranth,,
the parsnip,,
the vat,,
the potato,,
the strawflower,,
the winter squash,,
the mignonette,,
the donkey,,
the four o'clock flower,,
the pumpkin,,
buckwheat,,
the sunflower,,
the winepress,,
hemp,,
the peach,,
the turnip,,
the amaryllis,,
the ox,,
the eggplant,,
